* File generated by HWYLOAD Fri Aug 25 08:21:37 2017
* Screenline Record Format
*
* Columns    Contents
*       1    S(Volume) or  T(Toll) based record
*  2 -  5    Screenline Number
*  6 - 14    Anode
* 15 - 23    Bnode
*
* If S in col 1:-
*
* 24 - 33    Link volume count
* 34 - 40    Confidence Level
*
*        1         2         3         4         5         6
*2345678901234567890123456789012345678901234567890123456789012
S   1       39      235      6600  10000 SL 39-235         1
S   2      236       38      6600  10000 SL 236-38         1
S   3      224      222     22600  10000 SL 224-222        1
S   4      223      225     22600  10000 SL 223-225        1
S   5      220      218      2700  10000 SL 220-218        1
S   6      216      219      2700  10000 SL 216-219        1
S   7      213      207      2000  10000 SL 213-207        1
S   8      206      209      2000  10000 SL 206-209        1
S   9      203      201     28500  10000 SL 203-201        1
S  10      200      202     28500  10000 SL 200-202        1
S  11      196      192      2650  10000 SL 196-192        1
S  12      195      197      2650  10000 SL 195-197        1
S  13      192      190      5950  10000 SL 192-190        1
S  14      189      195      5950  10000 SL 189-195        1
S  15      190      187     31800  10000 SL 190-187        1
S  16      188      189     31800  10000 SL 188-189        1
S  17      183      180      4300  10000 SL 183-180        1
S  18      182      185      4300  10000 SL 182-185        1
S  19      180      177      4100  10000 SL 180-177        1
S  20      178      182      4100  10000 SL 178-182        1
S  21      170      169      3050  10000 SL 170-169        1
S  22      172      173      3050  10000 SL 172-173        1
S  23      157      285     34150  10000 SL 157-285        1
S  24      286      158     34150  10000 SL 286-158        1
S  25      155      157      5600  10000 SL 155-157        1
S  26      163      159      5600  10000 SL 163-159        1
S  27      152      149     37200  10000 SL 152-149        1
S  28      150      151     37200  10000 SL 150-151        1
S  29      156      281      3750  10000 SL 156-281        1
S  30      153      160      3750  10000 SL 153-160        1
S  31      140      138      9200  10000 SL 140-138        1
S  32      139      141      6000  10000 SL 139-141        1
S  33      136      134     42650  10000 SL 136-134        1
S  34      135      137     42650  10000 SL 135-137        1
S  35      134      130      5350  10000 SL 134-130        1
S  36      133      316      5350  10000 SL 133-316        1
S  37      127      126      4500  10000 SL 127-126        1
S  38      125      128      4500  10000 SL 125-128        1
S  39      123      120     41800  10000 SL 123-120        1
S  40      119      122     41800  10000 SL 119-122        1
S  41      120      118      1850  10000 SL 120-118        1
S  42      115      119      1850  10000 SL 115-119        1
S  43      322      111     39950  10000 SL 322-111        1
S  44      108      237     39950  10000 SL 108-237        1
S  45      154      152      3050  10000 SL 154-152        1
S  46      153      305      3050  10000 SL 153-305        1
S  47      269      175     31600  10000 SL 269-175        1
S  48      176      272     31600  10000 SL 176-272        1
